name_en,name_jp,granblue_id,rarity,element,proficiency,series,flb,ulb,max_level,max_skill_level,min_hp,max_hp,max_hp_flb,max_hp_ulb,min_atk,max_atk,max_atk_flb,max_atk_ulb,extra,ax_type,limit,ax,recruits,max_awakening_level,release_date,flb_date,ulb_date,wiki_en,wiki_ja,gamewith,kamigame,nicknames_en,nicknames_jp,transcendence,transcendence_date, , , , , , , , , , , , , 
Uralter Nagel,アルト・ナーゲル,1040619800,3,4,7,99,false,false,100,10,52,260,,,336,2289,,,false,,false,false,,,2025-01-17,,,Uralter Nagel,アルト・ナーゲル (SSR),482412,アルト・ナーゲル,,,,,,,,,,,,,,,,,
Greatbow Rondor,宝弓ロンドール,1040713900,3,6,5,99,true,false,150,15,33,223,271,,442,2525,3046,,false,,false,false,,,2025-01-17,2025-01-17,,Greatbow Rondor,宝弓ロンドール (SSR),482411,宝弓ロンドール,,,,,,,,,,,,,,,,,
Protean Folding Fan,変幻之妙扇,1040619900,3,2,7,98,false,false,100,10,27,195,,,328,1907,,,false,,false,false,,,2025-01-29,,,Protean Folding Fan,変幻之妙扇 (SSR),483280,変幻之妙扇,,,,,,,,,,,,,,,,,
Opening Shamisen,出囃子三絃,1030804700,2,2,8,98,false,false,75,10,21,147,,,206,1220,,,false,,false,false,,,2025-01-29,,,Opening Shamisen,出囃子三絃 (SR),,出囃子三絃,,,,,,,,,,,,,,,,,
Twinpain-Wolf Gun,双創・凱狼雷,1040517100,3,2,9,41,true,false,150,15,30,192,233,,481,2913,3521,,false,,false,false,,,2025-01-22,2025-01-22,,Twinpain-Wolf Gun,双創・凱狼雷 (SSR),482723,双創・凱狼雷,,,,,,,,,,,,,,,,,
O Iros Meta Chilion Prosopon,千の顔を持つ英雄,1040028200,3,4,1,97,true,false,150,15,35,206,249,,424,2557,3090,,false,,false,false,,,2025-01-31,2025-01-31,,O Iros Meta Chilion Prosopon,千の顔を持つ英雄 (SSR),483716,千の顔を持つ英雄,,,,,,,,,,,,,,,,,
Sica Shishikushiro,匕首・十六串呂,1040121200,3,1,2,97,true,false,150,15,37,235,285,,414,2412,2912,,false,,false,false,,,2025-01-31,2025-01-31,,Sica Shishikushiro,匕首・十六串呂 (SSR),483715,匕首・十六串呂,,,,,,,,,,,,,,,,,
Negi's Staff,ネギの杖,1040424000,3,1,6,97,true,false,150,15,38,239,289,,273,1684,2037,,false,,false,false,,,2025-02-04,2025-02-04,,Negi%27s_Staff,ネギの杖 (SSR),483872,ネギの杖,,,,,,,,,,,,,,,,,
Ensis Exorcizans,ハマノツルギ,1040028300,3,6,1,97,true,false,150,15,20,135,164,,364,2207,2668,,false,,false,false,,,2025-02-04,2025-02-04,,Ensis Exorcizans,ハマノツルギ (SSR),483873,ハマノツルギ,,,,,,,,,,,,,,,,,
Fourth Fork of the Fluffle,第四卯行突匙,1040219700,3,4,4,99,true,false,150,15,41,248,300,,393,2346,2834,,false,,false,false,,,2025-02-14,2025-02-14,,Fourth Fork of the Fluffle,第四卯行突匙 (SSR),485117,第四卯行突匙,,,,,,,,,,,,,,,,,
Clapotis Douleur,ドゥルール・クラポティ,1040319200,3,5,3,99,false,false,100,10,23,171,,,484,2731,,,false,,false,false,,,2025-02-14,,,Clapotis Douleur,ドゥルール・クラポティ (SSR),485128,ドゥルール・クラポティ,,,,,,,,,,,,,,,,,
